Name,Car_Price,Kilometers_Driven,Price_per_Km
Hyundai Xcent 1.1 CRDi S,3.85,75000,5.133333333333333e-05
Mahindra Thar CRDe AC,5.5,75800,7.255936675461742e-05
Audi A4 2.0 TDI 177 Bhp Premium Plus,21.43,13648,0.0015701934349355217
Maruti Swift LDI,4.25,52000,8.173076923076923e-05
Maruti Swift Ldi BSIV,3.3,53000,6.226415094339622e-05
Maruti Swift VDI,3.85,65650,5.864432597105865e-05
Hyundai Grand i10 Sportz,3.6,54000,6.666666666666667e-05
Volkswagen Vento 2013-2015 1.6 Comfortline,3.99,39000,0.00010230769230769232
Renault KWID RXT,3.3,16542,0.0001994922016684802
Hyundai i10 Asta,2.07,32000,6.46875e-05
Nissan X-Trail SLX AT,7.75,121812,6.362263159623025e-05
Maruti Zen Estilo VXI BSIII,2.25,39300,5.725190839694656e-05
Toyota Innova Crysta 2.4 GX MT 8S,16.5,22000,0.00075
Ford Figo Diesel Titanium,2.75,72000,3.8194444444444444e-05
Mercedes-Benz New C-Class C 200 CGI Avantgarde,26.7,58000,0.0004603448275862069
Mercedes-Benz New C-Class 200 CDI Classic,10.0,65000,0.00015384615384615385
Tata Indica V2 eLS,2.5,178000,1.404494382022472e-05
Audi A4 2.0 TDI Multitronic,13.5,65664,0.00020559210526315788
Honda City ZX CVT,1.85,63000,2.9365079365079366e-05
Mercedes-Benz C-Class Progressive C 220d,35.67,15369,0.002320905719305095
Maruti Ertiga SHVS VDI,8.15,63000,0.00012936507936507936
Hyundai Creta 1.4 E Plus Diesel,10.5,13000,0.0008076923076923077
Porsche Cayenne 2009-2014 Turbo,14.5,73000,0.00019863013698630136
Mahindra XUV500 W8 4WD,9.65,55729,0.0001731593963645499
Hyundai i10 Sportz 1.2 AT,3.48,45178,7.702864225950684e-05
Nissan Terrano XV D Pre,6.92,56066,0.00012342596225876646
Honda Brio VX AT,6.46,37300,0.00017319034852546916
Audi A6 2.0 TDI Design Edition,29.5,56000,0.0005267857142857143
Toyota Innova 2.0 G1,4.5,230000,1.956521739130435e-05
Toyota Innova 2.5 VX 7 STR BSIV,11.75,104000,0.00011298076923076923
Maruti Swift VDI,3.75,95100,3.943217665615142e-05
Tata Zest Revotron 1.2T XE,4.5,70000,6.428571428571429e-05
Honda Amaze SX i-VTEC,4.82,54944,8.77256843331392e-05
Ford Figo Diesel ZXI,2.8,70337,3.980835122339594e-05
Maruti Ritz VDi,3.11,99638,3.121299102751962e-05
Honda City i VTEC E,3.25,52000,6.25e-05
BMW 5 Series 2003-2012 525d,13.9,75000,0.00018533333333333333
Hyundai i10 Sportz 1.2,2.25,95980,2.3442383829964577e-05
Hyundai Grand i10 Sportz,5.75,16000,0.000359375
Honda Amaze SX i-VTEC,5.0,18949,0.000263866167080057
Toyota Fortuner 4x2 Manual,16.5,107000,0.00015420560747663551
Audi A6 2011-2015 35 TDI Premium,39.58,48367,0.0008183265449583393
Ford Ecosport 1.5 DV5 MT Titanium Optional,5.5,57000,9.649122807017544e-05
Mahindra XUV500 W8 2WD,8.1,58000,0.0001396551724137931
Honda Amaze SX i-DTEC,3.5,30000,0.00011666666666666667
Volkswagen Polo Diesel Highline 1.2L,2.79,34212,8.155033321641529e-05
Hyundai Verna Transform SX VGT CRDi,3.45,70002,4.928430616268107e-05
Maruti Wagon R VXI BS IV,4.45,62000,7.17741935483871e-05
Volkswagen Polo Petrol Highline 1.6L,2.65,62001,4.2741246108933725e-05
Hyundai i20 1.4 CRDi Sportz,3.8,78958,4.812685225056359e-05
Hyundai i20 Asta 1.2,4.65,30180,0.00015407554671968191
Datsun GO Plus T Petrol,3.95,32851,0.00012023987093239172
Audi A4 3.0 TDI Quattro Premium,9.8,30000,0.0003266666666666667
Hyundai i20 2015-2017 Asta,2.7,66000,4.0909090909090915e-05
Maruti Omni 5 Str STD,2.41,93850,2.5679275439531168e-05
Toyota Etios Liva 1.2 G,3.9,53000,7.358490566037736e-05
Jaguar XF 3.0 Litre S Premium Luxury,24.0,78000,0.0003076923076923077
Mahindra XUV500 W8 2WD,5.75,65000,8.846153846153847e-05
Hyundai Verna 1.6 SX CRDI (O) AT,5.25,40000,0.00013125
Toyota Innova Crysta 2.8 ZX AT,19.25,30000,0.0006416666666666667
Maruti Eeco 5 Seater AC,3.91,38053,0.00010275142564318188
Tata Nano Twist XT,2.15,25500,8.431372549019608e-05
BMW 3 Series 320d Luxury Line,20.75,56087,0.0003699609535186407
Honda Civic 2006-2010 1.8 V MT,3.35,71088,4.712469052442044e-05
Toyota Innova 2.5 VX (Diesel) 7 Seater,11.11,55000,0.00020199999999999998
Volvo V40 Cross Country D3,20.0,32700,0.0006116207951070336
Nissan Micra XV CVT,6.55,39882,0.00016423449175066447
BMW 5 Series 2010-2013 525i,7.0,128000,5.46875e-05
Maruti Vitara Brezza VDi,7.5,55000,0.00013636363636363637
Mercedes-Benz B Class B200 CDI,16.75,53753,0.00031161051476196676
Hyundai Verna CRDi 1.6 SX Option,10.95,10250,0.0010682926829268292
Maruti Wagon R LXI BS IV,2.45,43874,5.5841728586406535e-05
Tata Nano XTA,3.23,32684,9.882511320523803e-05
Mahindra Scorpio VLX,7.75,42000,0.00018452380952380953
Mercedes-Benz New C-Class 200 K AT,9.35,28352,0.00032978273137697513
Honda CR-V 2.4 MT,5.25,47700,0.000110062893081761
Volkswagen Vento 1.5 TDI Comfortline AT,7.25,55000,0.0001318181818181818
Maruti Ciaz VXi Plus,7.47,44285,0.0001686801400022581
Mahindra XUV500 AT W10 FWD,13.25,54000,0.00024537037037037035
Maruti Ritz VXI ABS,5.81,30232,0.00019218047102408044
Maruti Alto K10 VXI,2.6,88500,2.937853107344633e-05
Mercedes-Benz SLC 43 AMG,54.0,13372,0.00403828896201017
Hyundai Verna VTVT 1.6 AT SX Plus,11.5,12645,0.0009094503756425465
Maruti Alto LXi BSIII,1.6,94385,1.695184616199608e-05
BMW 1 Series 118d Base,17.22,31821,0.0005411520693881399
Honda Jazz 1.2 V CVT i VTEC,6.0,12000,0.0005
Honda Civic 2006-2010 1.8 V MT,3.95,88578,4.459346564609723e-05
Mercedes-Benz New C-Class C 220 CDI Avantgarde,17.95,44965,0.0003991993772934504
Honda Amaze SX i-DTEC,3.7,45044,8.214190569221206e-05
Maruti Swift VVT VXI,5.43,34204,0.000158753362179862
Toyota Fortuner 3.0 Diesel,13.49,91235,0.00014785992217898833
Chevrolet Beat LT Option,2.85,38800,7.345360824742269e-05
Skoda Rapid 1.5 TDI Elegance,4.75,83000,5.72289156626506e-05
Maruti Ciaz 1.4 Alpha,9.9,41283,0.00023980815347721823
Audi RS5 Coupe,37.0,23000,0.001608695652173913
BMW 3 Series Luxury Line,26.5,48000,0.0005520833333333334
Audi A4 2.0 TDI 177 Bhp Premium Plus,23.32,48214,0.0004836769403077944
Maruti Swift VDI,6.25,35000,0.00017857142857142857
Mercedes-Benz S Class 2005 2013 S 500,30.0,35277,0.0008504124500382685
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,9.86,54620,0.00018051995606005125
Skoda Superb Elegance 2.0 TDI CR AT,8.5,136997,6.204515427345124e-05
Hyundai EON Magna Plus,4.23,14322,0.0002953498114788438
Volkswagen Polo Diesel Trendline 1.2L,3.5,65634,5.332602005058354e-05
Datsun GO NXT,2.5,6000,0.0004166666666666667
Honda Brio S MT,2.39,33280,7.181490384615385e-05
Mercedes-Benz B Class B180,11.25,29000,0.0003879310344827586
Honda City i DTEC V,7.11,42831,0.00016600126076906914
Toyota Innova 2.5 G (Diesel) 7 Seater,10.9,90000,0.00012111111111111112
Maruti Swift VXI Optional,6.2,24005,0.00025827952509893773
Mahindra XUV500 W8 2WD,7.9,32792,0.0002409124176628446
Ford Ecosport 1.5 DV5 MT Ambiente,4.42,147898,2.9885461601914833e-05
Toyota Fortuner 4x2 Manual,13.5,131765,0.000102455128448374
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,6.25,65000,9.615384615384615e-05
Ford Figo Diesel Titanium,2.1,66123,3.175899460097092e-05
BMW X5 xDrive 30d,45.0,41000,0.0010975609756097562
Mercedes-Benz New C-Class C 220 CDI Style,33.66,23550,0.0014292993630573246
Honda Brio V MT,3.65,45000,8.11111111111111e-05
Hyundai i10 Magna 1.2,2.75,60000,4.5833333333333334e-05
Mercedes-Benz GLC 220,42.5,44414,0.0009569054802539739
Hyundai Grand i10 1.2 Kappa Asta,6.5,1000,0.0065
Audi A6 2011-2015 2.0 TDI Premium Plus,19.0,62500,0.000304
Volkswagen Vento Petrol Highline AT,4.45,21000,0.00021190476190476192
Mini Countryman Cooper D,23.0,8525,0.0026979472140762463
Hyundai i20 Asta 1.4 CRDi,8.35,29000,0.0002879310344827586
Audi A6 2011-2015 2.0 TDI Premium Plus,22.95,40000,0.0005737499999999999
Chevrolet Beat Diesel LT,1.5,88000,1.7045454545454546e-05
Skoda Superb Elegance 1.8 TSI AT,6.89,53537,0.00012869604198965202
Ford Fiesta 1.4 TDCi EXI Limited Edition,1.45,216000,6.712962962962963e-06
BMW 5 Series 520d Luxury Line,33.5,51000,0.0006568627450980392
Chevrolet Optra Magnum 1.6 LS BS3,1.25,118500,1.0548523206751054e-05
Volkswagen Polo Diesel Highline 1.2L,4.2,63000,6.666666666666667e-05
Renault Lodgy 110PS RxZ 8 Seater,6.75,25000,0.00027
Mercedes-Benz E-Class E250 CDI Avantgrade,32.0,37382,0.0008560269648493927
Maruti Baleno Alpha,7.5,24773,0.0003027489605619021
Hyundai Verna 1.6 SX,4.6,62000,7.419354838709677e-05
Hyundai i10 Magna 1.1,4.04,52340,7.718761941153993e-05
Mahindra Scorpio 1.99 S10 4WD,10.31,56739,0.00018170922998290417
Land Rover Range Rover 2.2L Dynamic,55.76,36091,0.001544983513895431
Ford Figo Diesel ZXI,2.6,120000,2.1666666666666667e-05
Maruti Ertiga ZDI,8.5,33000,0.00025757575757575756
Honda City 1.5 GXI,2.95,60006,4.9161750491617507e-05
Honda Amaze S i-Dtech,3.5,52000,6.73076923076923e-05
Hyundai i10 Magna,3.55,43571,8.147621124142204e-05
Honda Amaze S i-Dtech,3.25,50000,6.5e-05
Skoda Laura Ambiente,4.5,113000,3.982300884955752e-05
Renault Duster 85PS Diesel RxL,5.35,90000,5.944444444444444e-05
Mahindra NuvoSport N6,6.5,29000,0.00022413793103448276
Maruti Vitara Brezza ZDi Plus Dual Tone,9.0,20000,0.00045
Hyundai i20 Asta Option 1.2,6.0,61012,9.834130990624795e-05
Skoda Fabia 1.4 MPI Ambiente,2.75,87459,3.144330486285002e-05
Tata Indigo eCS GLX,1.5,70500,2.1276595744680852e-05
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,19.9,64103,0.00031043788902235464
Skoda Octavia Elegance 1.8 TSI AT,10.0,76000,0.00013157894736842105
Toyota Etios Liva GD SP,3.0,104000,2.8846153846153845e-05
Maruti Swift 1.3 VXi,2.11,42001,5.0236899121449485e-05
Mercedes-Benz B Class B180,11.96,37245,0.0003211169284467714
Honda Amaze S Diesel,3.25,45000,7.222222222222222e-05
Hyundai Verna 1.6 SX,4.75,117837,4.0309919634749696e-05
Renault Duster 85PS Diesel RxL Optional,5.95,30000,0.00019833333333333335
Hyundai Creta 1.6 VTVT S,8.15,27057,0.00030121595150977567
Maruti Wagon R AMT VXI,4.22,8500,0.0004964705882352941
Mercedes-Benz New C-Class C250 Avantgarde,10.5,30500,0.00034426229508196723
Audi A8 L 3.0 TDI quattro,45.0,56000,0.0008035714285714286
Hyundai i10 Magna 1.1,2.9,44000,6.59090909090909e-05
Skoda Rapid 1.6 MPI AT Style Black Package,8.9,10500,0.0008476190476190477
Skoda Superb Style 1.8 TSI AT,26.0,26000,0.001
Hyundai i20 Active 1.2 SX,8.22,25166,0.00032663116903759043
Honda Amaze VX i-DTEC,3.5,64000,5.46875e-05
Maruti Wagon R LXI,1.25,61000,2.0491803278688525e-05
Mahindra Verito 1.5 D4 BSIV,3.7,107000,3.457943925233645e-05
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,39.41,29161,0.0013514625698707176
Maruti Wagon R VXI,2.65,32000,8.28125e-05
Nissan Terrano XV Premium 110 PS Anniversary Edition,8.92,46173,0.00019318649427154397
Mini Cooper Convertible S,35.67,26327,0.0013548828199187147
Ford Figo Diesel,3.6,70436,5.1110227724459085e-05
Tata Indica V2 DLS BSII,0.85,200000,4.25e-06
Chevrolet Beat LT,3.32,60813,5.4593590186308845e-05
Volkswagen Polo Diesel Comfortline 1.2L,3.6,45000,8e-05
Maruti Swift ZDi,6.8,64000,0.00010625
Ford Figo Diesel EXI,2.5,41284,6.055614766011045e-05
Toyota Innova Crysta 2.8 GX AT,19.64,14165,0.001386516060713025
Hyundai Santa Fe 4x4 AT,7.0,67000,0.0001044776119402985
Honda City i-VTEC V,3.87,32572,0.0001188137050227189
Hyundai i20 1.2 Magna Executive,6.27,14960,0.0004191176470588235
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,18.12,55980,0.0003236870310825295
Chevrolet Beat Diesel LT,2.65,74000,3.581081081081081e-05
Hyundai i20 Sportz 1.4 CRDi,7.2,56847,0.00012665576019842736
Toyota Innova 2.5 Z Diesel 7 Seater,14.3,121374,0.00011781765452238536
Maruti Ertiga VDI,6.9,52000,0.0001326923076923077
Toyota Innova 2.5 V Diesel 7-seater,10.75,118000,9.110169491525424e-05
Honda City i VTEC V,8.09,33915,0.0002385375202712664
BMW X1 sDrive20d,18.5,82002,0.00022560425355479136
Hyundai Grand i10 CRDi Era,4.75,33000,0.00014393939393939393
Maruti Ciaz 1.3 Alpha,8.45,34000,0.0002485294117647059
Skoda Rapid Leisure 1.6 TDI MT,3.5,55000,6.363636363636364e-05
Hyundai Accent CRDi,1.8,160538,1.1212298645803486e-05
Volkswagen Polo GT 1.5 TDI,3.7,60000,6.166666666666667e-05
Honda Jazz 1.2 VX i VTEC,7.17,49575,0.00014462934947049924
Hyundai i10 Era,1.75,83000,2.108433734939759e-05
Hyundai Tucson 2.0 e-VGT 2WD AT GLS,21.99,51346,0.00042827094613017563
Toyota Innova Crysta 2.4 ZX MT,18.65,43000,0.0004337209302325581
Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,1.85,35000,5.285714285714286e-05
Maruti Swift VXI BSIV,5.95,27872,0.00021347588978185993
Hyundai Grand i10 Magna,3.75,16514,0.00022708005328811917
Maruti Swift VDI,3.75,120000,3.125e-05
Hyundai Verna CRDi 1.6 SX,2.6,143275,1.8146920258244634e-05
Hyundai i20 1.2 Sportz,2.8,52000,5.384615384615384e-05
Mercedes-Benz GLE 350d,61.29,29819,0.002055400918877226
Mercedes-Benz New C-Class C 220 CDI CLASSIC,18.0,57000,0.00031578947368421053
Maruti Ritz ZDi,4.35,88500,4.9152542372881355e-05
Hyundai Creta 1.6 CRDi SX,13.75,28000,0.0004910714285714286
Maruti A-Star Vxi,2.0,67000,2.9850746268656717e-05
Renault Duster 110PS Diesel RXZ Option,10.0,26000,0.0003846153846153846
Fiat Grande Punto 1.3 Emotion Pack (Diesel),1.65,120000,1.3749999999999999e-05
BMW X3 xDrive30d M Sport,45.77,51982,0.0008804970951483206
Hyundai i10 Sportz,3.25,36000,9.027777777777777e-05
Toyota Innova 2.5 G4 Diesel 7-seater,12.8,47000,0.0002723404255319149
Maruti Zen VXI BSII,0.55,60000,9.166666666666668e-06
Maruti Swift VDI,7.15,31025,0.00023045930701047544
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,7.0,105000,6.666666666666667e-05
Tata Zest Quadrajet 1.3 75PS XE,3.75,121900,3.0762920426579166e-05
Ford EcoSport 1.0 Ecoboost Titanium Plus,8.5,22695,0.0003745318352059925
Maruti Swift Dzire ZDI,4.35,73000,5.9589041095890405e-05
Maruti Alto 800 LXI,3.26,32227,0.0001011574145902504
Honda City 1.5 S MT,4.21,55000,7.654545454545455e-05
Audi Q7 3.0 TDI Quattro Technology,70.36,11287,0.006233720209090104
Skoda Laura 1.9 TDI AT Ambiente,2.95,48000,6.145833333333334e-05
Hyundai Verna 1.6 SX VTVT (O),4.28,54308,7.880975178610887e-05
Honda City 1.5 V AT,3.57,78442,4.5511333214349456e-05
Hyundai i20 Magna Optional 1.4 CRDi,3.11,46000,6.760869565217391e-05
Hyundai i20 Sportz AT 1.4,5.96,45051,0.00013229451066569
Volkswagen Vento Diesel Highline,4.7,69000,6.81159420289855e-05
Honda City i VTEC VX,6.9,49000,0.00014081632653061224
Tata Zest Quadrajet 1.3 75PS XE,5.25,45000,0.00011666666666666667
BMW 5 Series 2003-2012 520d,28.0,64000,0.0004375
Maruti Wagon R LXI Minor,1.35,60000,2.25e-05
Honda Jazz VX,4.85,62178,7.800186561163112e-05
Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,6.7,58006,0.0001155052925559425
Hyundai i10 Magna 1.2,3.1,74000,4.189189189189189e-05
Mercedes-Benz New C-Class C 220 CDI Avantgarde,18.64,77771,0.00023967802908539173
Hyundai i10 Magna 1.2 iTech SE,2.8,45275,6.184428492545554e-05
Toyota Innova Crysta 2.4 ZX MT,20.25,48000,0.000421875
Audi A6 2011-2015 2.0 TDI Technology,26.78,31652,0.0008460760773410844
Toyota Innova 2.5 VX (Diesel) 7 Seater,8.26,109000,7.577981651376146e-05
Volkswagen Polo Petrol Trendline 1.2L,3.89,31978,0.00012164613171555445
Maruti Alto K10 LXI,2.1,70000,3e-05
Honda City i-VTEC CVT ZX,12.69,15000,0.000846
Tata Indigo LX,2.58,59138,4.36267712807332e-05
Audi A6 2011-2015 2.0 TDI Premium Plus,20.77,61726,0.0003364870556977611
Mercedes-Benz GLA Class 200 CDI SPORT,20.26,48000,0.0004220833333333334
Maruti Celerio VXI AT,4.25,77815,5.461671914155369e-05
Mercedes-Benz GLE 250d,57.0,29000,0.00196551724137931
Land Rover Range Rover HSE Dynamic,44.0,44000,0.001
Volkswagen Vento Diesel Trendline,3.65,108626,3.360153186161692e-05
Maruti Omni 8 Seater BSIV,2.05,71791,2.855511136493432e-05
Honda Brio 1.2 VX MT,3.13,91931,3.404727458637456e-05
Tata Sumo Delux,1.5,158000,9.49367088607595e-06
Tata Indica Vista Aura 1.3 Quadrajet,2.85,91183,3.125582619567244e-05
Maruti Wagon R LXI BS IV,2.65,65000,4.076923076923077e-05
Mahindra XUV500 W8 4WD,10.6,88428,0.00011987153390328854
Tata Indigo LS Dicor,1.25,138000,9.057971014492753e-06
Maruti Ertiga Paseo VXI,8.25,18000,0.0004583333333333333
Honda Accord 2.4 A/T,4.45,60000,7.416666666666668e-05
Maruti Swift Dzire VDi,3.7,48000,7.708333333333334e-05
Ford Fiesta EXi 1.4 TDCi Ltd,2.8,160000,1.75e-05
Honda City ZX GXi,1.8,40000,4.5e-05
Audi A6 2011-2015 2.0 TDI Premium Plus,21.95,51495,0.00042625497621128264
BMW 6 Series 640d Gran Coupe,49.0,30000,0.0016333333333333334
Audi Q7 45 TDI Quattro Technology,62.67,97430,0.0006432310376680694
Hyundai i20 1.4 CRDi Asta,5.5,83000,6.626506024096386e-05
Hyundai i10 Sportz AT,2.95,37000,7.972972972972974e-05
Honda Jazz 1.2 V CVT i VTEC,6.86,28503,0.0002406764200259622
Maruti Swift VDI BSIV,6.15,76496,8.039636059401799e-05
Hyundai i20 Asta 1.2,3.3,79152,4.169193450576107e-05
Volkswagen Polo Petrol Comfortline 1.2L,2.55,32000,7.968749999999999e-05
Maruti Alto LXi,1.5,35000,4.2857142857142856e-05
Toyota Corolla H4,2.5,105000,2.380952380952381e-05
Maruti Alto LXi,1.4,56000,2.4999999999999998e-05
Tata Manza ELAN Quadrajet BS IV,3.4,73000,4.657534246575342e-05
Maruti Alto LXi,2.25,38000,5.921052631578947e-05
Skoda Octavia Ambition Plus 2.0 TDI AT,7.5,775000,9.67741935483871e-06
Toyota Corolla H4,2.8,80000,3.5e-05
Hyundai i20 Asta Option 1.2,7.66,24973,0.00030673126977135307
Maruti Vitara Brezza LDi,7.15,45000,0.0001588888888888889
Honda City 1.5 V MT,3.5,87430,4.00320256204964e-05
Tata Indica Vista Aqua 1.3 Quadrajet,3.5,133944,2.6130323120109898e-05
Honda Amaze S i-Dtech,3.45,57000,6.052631578947369e-05
Hyundai EON D Lite Plus,3.55,27904,0.00012722190366972478
BMW 3 Series Luxury Line,25.99,30717,0.0008461112738874239
Hyundai Verna 1.6 SX,5.25,80000,6.5625e-05
Tata Manza Club Class Quadrajet90 LS,2.9,47304,6.13055978352782e-05
Skoda Octavia RS,2.05,100000,2.0499999999999997e-05
Maruti Alto K10 VXI,3.75,30000,0.000125
Ford Ecosport 1.5 DV5 MT Titanium Optional,6.75,68000,9.926470588235294e-05
Chevrolet Spark 1.0 LS,0.95,21000,4.523809523809524e-05
Jaguar XF 2.0 Diesel Portfolio,52.0,21000,0.002476190476190476
Honda CR-V RVi MT,3.91,119000,3.285714285714286e-05
Skoda Superb L&K 1.8 TSI AT,27.3,13747,0.001985887830072016
Hyundai i10 Magna 1.2,2.7,620000,4.35483870967742e-06
Maruti Swift LDI,3.5,70000,5e-05
Maruti Swift Dzire VXi AT,6.2,18000,0.0003444444444444445
Nissan Micra Diesel XV,2.75,83000,3.313253012048193e-05
Maruti Swift Dzire Tour LDI,3.25,130000,2.5e-05
Ford Fiesta Classic 1.4 Duratorq CLXI,3.25,63400,5.1261829652996846e-05
Maruti Zen LX,0.65,65000,1e-05
Mini Clubman Cooper S,35.0,8350,0.004191616766467066
Toyota Etios GD,3.25,45000,7.222222222222222e-05
Maruti Alto 800 2016-2019 LXI,2.9,26200,0.00011068702290076335
Maruti Alto VXi,2.9,11000,0.0002636363636363636
BMW X5 3.0d,17.75,90000,0.00019722222222222222
Nissan Teana XV,8.25,74000,0.00011148648648648648
Hyundai Grand i10 AT Asta,5.77,37081,0.00015560529651303901
Maruti Vitara Brezza ZDi Plus,9.49,39000,0.00024333333333333333
Audi Q7 3.0 TDI Quattro Premium Plus,12.95,99000,0.0001308080808080808
Mercedes-Benz GLA Class 200 CDI,20.0,38000,0.0005263157894736842
Maruti 800 AC,1.0,72000,1.388888888888889e-05
Renault Duster 85PS Diesel RxL,7.1,93000,7.634408602150538e-05
Toyota Corolla Altis D-4D GL,16.5,5900,0.0027966101694915256
Mercedes-Benz New C-Class 220,26.0,25000,0.00104
Maruti Ritz VDi,3.2,68000,4.705882352941177e-05
Honda BRV i-VTEC V CVT,9.48,35676,0.00026572485704675416
Hyundai Xcent 1.1 CRDi Base,4.0,74310,5.3828556048983984e-05
Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,26.5,59364,0.00044639849066774475
Mercedes-Benz B Class B180,11.77,41380,0.0002844369260512325
Mercedes-Benz E-Class 2015-2017 E250 Edition E,37.0,33900,0.0010914454277286135
Honda City i VTEC VX Option,8.75,28000,0.0003125
Honda City 1.5 S MT,3.75,93982,3.990125768764231e-05
Hyundai Verna Transform VTVT,2.5,95000,2.6315789473684212e-05
Jaguar XE Portfolio,34.5,9000,0.003833333333333333
Honda Amaze S i-Vtech,4.65,52516,8.854444359814152e-05
Mini Cooper Convertible 1.6,32.0,20000,0.0016
Mercedes-Benz S Class 2005 2013 S 350 CDI,62.81,56451,0.0011126463658748295
Hyundai EON Magna Plus,3.25,37000,8.783783783783784e-05
Maruti Wagon R VXI BS IV,3.1,17400,0.0001781609195402299
Maruti Ritz LDi,3.91,90207,4.3344751515957744e-05
BMW 3 Series 320d Sedan,11.0,89616,0.00012274593822531691
Tata Xenon XT EX 4X2,3.5,85000,4.11764705882353e-05
Audi A3 35 TDI Attraction,16.5,79271,0.00020814673714220837
Land Rover Range Rover 2.2L Dynamic,30.0,56000,0.0005357142857142857
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,28.0,85001,0.0003294078893189492
Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,28.0,12000,0.0023333333333333335
Maruti Alto LX,0.92,125000,7.360000000000001e-06
Maruti Wagon R LXI BSIII,2.75,53000,5.188679245283019e-05
Land Rover Range Rover 2.2L Prestige,53.83,34990,0.001538439554158331
Hyundai Verna 1.6 SX VTVT,4.95,49768,9.946150136633982e-05
BMW 5 Series 525d Sedan,33.5,56000,0.0005982142857142857
Jaguar XF Diesel,27.95,75000,0.00037266666666666665
Skoda Superb Elegance 1.8 TSI AT,7.25,57000,0.00012719298245614035
Audi Q3 35 TDI Quattro Premium,25.71,37542,0.000684832987054499
Land Rover Range Rover 2.2L Pure,29.67,95649,0.0003101966565254211
