Name,Year,Fuel_Type,Price
Maruti Alto LXi,2008,Petrol,1.25
Tata Nano LX SE,2014,Petrol,1.53
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,2017,Diesel,5.58
Hyundai i20 Magna Optional 1.2,2014,Petrol,4.74
Hyundai Elantra 2.0 SX Option AT,2014,Petrol,8.85
Toyota Corolla Altis G AT,2016,Petrol,10.11
Hyundai Elantra CRDi,2008,Diesel,4.25
Toyota Innova Crysta 2.7 GX MT,2012,Petrol,10.95
Hyundai Xcent 1.1 CRDi S,2014,Diesel,3.85
Mahindra Thar CRDe AC,2012,Diesel,5.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,Diesel,21.43
Maruti Swift LDI,2014,Diesel,4.25
Maruti Swift Ldi BSIV,2014,Diesel,3.3
Maruti Swift VDI,2013,Diesel,3.85
Hyundai Grand i10 Sportz,2015,Petrol,3.6
Volkswagen Vento 2013-2015 1.6 Comfortline,2015,Petrol,3.99
Renault KWID RXT,2017,Petrol,3.3
Hyundai i10 Asta,2010,Petrol,2.07
Nissan X-Trail SLX AT,2010,Diesel,7.75
Maruti Zen Estilo VXI BSIII,2010,Petrol,2.25
Toyota Innova Crysta 2.4 GX MT 8S,2017,Diesel,16.5
Ford Figo Diesel Titanium,2010,Diesel,2.75
Mercedes-Benz New C-Class C 200 CGI Avantgarde,2015,Petrol,26.7
Mercedes-Benz New C-Class 200 CDI Classic,2011,Diesel,10.0
Tata Indica V2 eLS,2016,Diesel,2.5
Audi A4 2.0 TDI Multitronic,2012,Diesel,13.5
Honda City ZX CVT,2007,Petrol,1.85
Mercedes-Benz C-Class Progressive C 220d,2019,Diesel,35.67
Maruti Ertiga SHVS VDI,2016,Diesel,8.15
Hyundai Creta 1.4 E Plus Diesel,2018,Diesel,10.5
Porsche Cayenne 2009-2014 Turbo,2008,Petrol,14.5
Mahindra XUV500 W8 4WD,2015,Diesel,9.65
Hyundai i10 Sportz 1.2 AT,2012,Petrol,3.48
Nissan Terrano XV D Pre,2015,Diesel,6.92
Honda Brio VX AT,2016,Petrol,6.46
Audi A6 2.0 TDI Design Edition,2014,Diesel,29.5
Toyota Innova 2.0 G1,2006,Petrol,4.5
Toyota Innova 2.5 VX 7 STR BSIV,2012,Diesel,11.75
Maruti Swift VDI,2012,Diesel,3.75
Tata Zest Revotron 1.2T XE,2017,Petrol,4.5
Honda Amaze SX i-VTEC,2016,Petrol,4.82
Ford Figo Diesel ZXI,2012,Diesel,2.8
Maruti Ritz VDi,2013,Diesel,3.11
Honda City i VTEC E,2009,Petrol,3.25
BMW 5 Series 2003-2012 525d,2011,Diesel,13.9
Hyundai i10 Sportz 1.2,2009,Petrol,2.25
Hyundai Grand i10 Sportz,2016,Petrol,5.75
Honda Amaze SX i-VTEC,2016,Petrol,5.0
Toyota Fortuner 4x2 Manual,2014,Diesel,16.5
Audi A6 2011-2015 35 TDI Premium,2018,Diesel,39.58
Ford Ecosport 1.5 DV5 MT Titanium Optional,2013,Diesel,5.5
Mahindra XUV500 W8 2WD,2014,Diesel,8.1
Honda Amaze SX i-DTEC,2015,Diesel,3.5
Volkswagen Polo Diesel Highline 1.2L,2013,Diesel,2.79
Hyundai Verna Transform SX VGT CRDi,2010,Diesel,3.45
Maruti Wagon R VXI BS IV,2016,Petrol,4.45
Volkswagen Polo Petrol Highline 1.6L,2010,Petrol,2.65
Hyundai i20 1.4 CRDi Sportz,2011,Diesel,3.8
Hyundai i20 Asta 1.2,2014,Petrol,4.65
Datsun GO Plus T Petrol,2017,Petrol,3.95
Audi A4 3.0 TDI Quattro Premium,2010,Diesel,9.8
Hyundai i20 2015-2017 Asta,2009,Petrol,2.7
Maruti Omni 5 Str STD,2010,Petrol,2.41
Toyota Etios Liva 1.2 G,2014,Petrol,3.9
Jaguar XF 3.0 Litre S Premium Luxury,2011,Diesel,24.0
Mahindra XUV500 W8 2WD,2012,Diesel,5.75
Hyundai Verna 1.6 SX CRDI (O) AT,2014,Diesel,5.25
Toyota Innova Crysta 2.8 ZX AT,2017,Diesel,19.25
Maruti Eeco 5 Seater AC,2017,Petrol,3.91
Tata Nano Twist XT,2014,Petrol,2.15
BMW 3 Series 320d Luxury Line,2015,Diesel,20.75
Honda Civic 2006-2010 1.8 V MT,2010,Petrol,3.35
Toyota Innova 2.5 VX (Diesel) 7 Seater,2014,Diesel,11.11
Volvo V40 Cross Country D3,2014,Diesel,20.0
Nissan Micra XV CVT,2016,Petrol,6.55
BMW 5 Series 2010-2013 525i,2009,Petrol,7.0
Maruti Vitara Brezza VDi,2016,Diesel,7.5
Mercedes-Benz B Class B200 CDI,2014,Diesel,16.75
Hyundai Verna CRDi 1.6 SX Option,2018,Diesel,10.95
Maruti Wagon R LXI BS IV,2011,Petrol,2.45
Tata Nano XTA,2017,Petrol,3.23
Mahindra Scorpio VLX,2014,Diesel,7.75
Mercedes-Benz New C-Class 200 K AT,2009,Petrol,9.35
Honda CR-V 2.4 MT,2007,Petrol,5.25
Volkswagen Vento 1.5 TDI Comfortline AT,2015,Diesel,7.25
Maruti Ciaz VXi Plus,2017,Petrol,7.47
Mahindra XUV500 AT W10 FWD,2016,Diesel,13.25
Maruti Ritz VXI ABS,2016,Petrol,5.81
Maruti Alto K10 VXI,2014,Petrol,2.6
Mercedes-Benz SLC 43 AMG,2017,Petrol,54.0
Hyundai Verna VTVT 1.6 AT SX Plus,2019,Petrol,11.5
Maruti Alto LXi BSIII,2010,Petrol,1.6
BMW 1 Series 118d Base,2015,Diesel,17.22
Honda Jazz 1.2 V CVT i VTEC,2015,Petrol,6.0
Honda Civic 2006-2010 1.8 V MT,2012,Petrol,3.95
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2014,Diesel,17.95
Honda Amaze SX i-DTEC,2014,Diesel,3.7
Maruti Swift VVT VXI,2016,Petrol,5.43
Toyota Fortuner 3.0 Diesel,2012,Diesel,13.49
Chevrolet Beat LT Option,2014,Petrol,2.85
Skoda Rapid 1.5 TDI Elegance,2013,Diesel,4.75
Maruti Ciaz 1.4 Alpha,2018,Petrol,9.9
Audi RS5 Coupe,2013,Petrol,37.0
BMW 3 Series Luxury Line,2014,Diesel,26.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,2015,Diesel,23.32
Maruti Swift VDI,2016,Diesel,6.25
Mercedes-Benz S Class 2005 2013 S 500,2010,Petrol,30.0
Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,2016,Diesel,9.86
Skoda Superb Elegance 2.0 TDI CR AT,2012,Diesel,8.5
Hyundai EON Magna Plus,2019,Petrol,4.23
Volkswagen Polo Diesel Trendline 1.2L,2012,Diesel,3.5
Datsun GO NXT,2016,Petrol,2.5
Honda Brio S MT,2013,Petrol,2.39
Mercedes-Benz B Class B180,2013,Petrol,11.25
Honda City i DTEC V,2015,Diesel,7.11
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,Diesel,10.9
Maruti Swift VXI Optional,2017,Petrol,6.2
Mahindra XUV500 W8 2WD,2012,Diesel,7.9
Ford Ecosport 1.5 DV5 MT Ambiente,2014,Diesel,4.42
Toyota Fortuner 4x2 Manual,2012,Diesel,13.5
Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,2013,Diesel,6.25
Ford Figo Diesel Titanium,2010,Diesel,2.1
BMW X5 xDrive 30d,2015,Diesel,45.0
Mercedes-Benz New C-Class C 220 CDI Style,2017,Diesel,33.66
Honda Brio V MT,2012,Petrol,3.65
Hyundai i10 Magna 1.2,2013,Petrol,2.75
Mercedes-Benz GLC 220,2016,Diesel,42.5
Hyundai Grand i10 1.2 Kappa Asta,2019,Petrol,6.5
Audi A6 2011-2015 2.0 TDI Premium Plus,2012,Diesel,19.0
Volkswagen Vento Petrol Highline AT,2013,Petrol,4.45
Mini Countryman Cooper D,2017,Diesel,23.0
Hyundai i20 Asta 1.4 CRDi,2014,Diesel,8.35
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,Diesel,22.95
Chevrolet Beat Diesel LT,2012,Diesel,1.5
Skoda Superb Elegance 1.8 TSI AT,2012,Petrol,6.89
Ford Fiesta 1.4 TDCi EXI Limited Edition,2006,Diesel,1.45
BMW 5 Series 520d Luxury Line,2014,Diesel,33.5
Chevrolet Optra Magnum 1.6 LS BS3,2007,Petrol,1.25
Volkswagen Polo Diesel Highline 1.2L,2012,Diesel,4.2
Renault Lodgy 110PS RxZ 8 Seater,2015,Diesel,6.75
Mercedes-Benz E-Class E250 CDI Avantgrade,2014,Diesel,32.0
Maruti Baleno Alpha,2017,Petrol,7.5
Hyundai Verna 1.6 SX,2012,Diesel,4.6
Hyundai i10 Magna 1.1,2017,Petrol,4.04
Mahindra Scorpio 1.99 S10 4WD,2016,Diesel,10.31
Land Rover Range Rover 2.2L Dynamic,2018,Diesel,55.76
Ford Figo Diesel ZXI,2010,Diesel,2.6
Maruti Ertiga ZDI,2016,Diesel,8.5
Honda City 1.5 GXI,2007,Petrol,2.95
Honda Amaze S i-Dtech,2014,Diesel,3.5
Hyundai i10 Magna,2015,Petrol,3.55
Honda Amaze S i-Dtech,2013,Diesel,3.25
Skoda Laura Ambiente,2008,Diesel,4.5
Renault Duster 85PS Diesel RxL,2014,Diesel,5.35
Mahindra NuvoSport N6,2017,Diesel,6.5
Maruti Vitara Brezza ZDi Plus Dual Tone,2016,Diesel,9.0
Hyundai i20 Asta Option 1.2,2016,Petrol,6.0
Skoda Fabia 1.4 MPI Ambiente,2009,Petrol,2.75
Tata Indigo eCS GLX,2010,Petrol,1.5
Audi Q3 2012-2015 35 TDI Quattro Premium Plus,2015,Diesel,19.9
Skoda Octavia Elegance 1.8 TSI AT,2014,Petrol,10.0
Toyota Etios Liva GD SP,2014,Diesel,3.0
Maruti Swift 1.3 VXi,2010,Petrol,2.11
Mercedes-Benz B Class B180,2014,Petrol,11.96
Honda Amaze S Diesel,2013,Diesel,3.25
Hyundai Verna 1.6 SX,2012,Diesel,4.75
Renault Duster 85PS Diesel RxL Optional,2014,Diesel,5.95
Hyundai Creta 1.6 VTVT S,2015,Petrol,8.15
Maruti Wagon R AMT VXI,2016,Petrol,4.22
Mercedes-Benz New C-Class C250 Avantgarde,2010,Petrol,10.5
Audi A8 L 3.0 TDI quattro,2012,Diesel,45.0
Hyundai i10 Magna 1.1,2012,Petrol,2.9
Skoda Rapid 1.6 MPI AT Style Black Package,2017,Petrol,8.9
Skoda Superb Style 1.8 TSI AT,2017,Petrol,26.0
Hyundai i20 Active 1.2 SX,2018,Petrol,8.22
Honda Amaze VX i-DTEC,2014,Diesel,3.5
Maruti Wagon R LXI,2004,Petrol,1.25
Mahindra Verito 1.5 D4 BSIV,2013,Diesel,3.7
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2018,Diesel,39.41
Maruti Wagon R VXI,2013,Petrol,2.65
Nissan Terrano XV Premium 110 PS Anniversary Edition,2015,Diesel,8.92
Mini Cooper Convertible S,2017,Petrol,35.67
Ford Figo Diesel,2015,Diesel,3.6
Tata Indica V2 DLS BSII,2007,Diesel,0.85
Chevrolet Beat LT,2016,Petrol,3.32
Volkswagen Polo Diesel Comfortline 1.2L,2012,Diesel,3.6
Maruti Swift ZDi,2016,Diesel,6.8
Ford Figo Diesel EXI,2012,Diesel,2.5
Toyota Innova Crysta 2.8 GX AT,2019,Diesel,19.64
Hyundai Santa Fe 4x4 AT,2011,Diesel,7.0
Honda City i-VTEC V,2011,Petrol,3.87
Hyundai i20 1.2 Magna Executive,2018,Petrol,6.27
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,2015,Diesel,18.12
Chevrolet Beat Diesel LT,2013,Diesel,2.65
Hyundai i20 Sportz 1.4 CRDi,2015,Diesel,7.2
Toyota Innova 2.5 Z Diesel 7 Seater,2015,Diesel,14.3
Maruti Ertiga VDI,2013,Diesel,6.9
Toyota Innova 2.5 V Diesel 7-seater,2014,Diesel,10.75
Honda City i VTEC V,2016,Petrol,8.09
BMW X1 sDrive20d,2014,Diesel,18.5
Hyundai Grand i10 CRDi Era,2017,Diesel,4.75
Maruti Ciaz 1.3 Alpha,2016,Diesel,8.45
Skoda Rapid Leisure 1.6 TDI MT,2012,Diesel,3.5
Hyundai Accent CRDi,2006,Diesel,1.8
Volkswagen Polo GT 1.5 TDI,2014,Diesel,3.7
Honda Jazz 1.2 VX i VTEC,2017,Petrol,7.17
Hyundai i10 Era,2010,Petrol,1.75
Hyundai Tucson 2.0 e-VGT 2WD AT GLS,2018,Diesel,21.99
Toyota Innova Crysta 2.4 ZX MT,2017,Diesel,18.65
Maruti Omni MPI CARGO BSIII W/ IMMOBILISER,2011,Petrol,1.85
Maruti Swift VXI BSIV,2017,Petrol,5.95
Hyundai Grand i10 Magna,2014,Petrol,3.75
Maruti Swift VDI,2012,Diesel,3.75
Hyundai Verna CRDi 1.6 SX,2008,Diesel,2.6
Hyundai i20 1.2 Sportz,2010,Petrol,2.8
Mercedes-Benz GLE 350d,2017,Diesel,61.29
Mercedes-Benz New C-Class C 220 CDI CLASSIC,2014,Diesel,18.0
Maruti Ritz ZDi,2014,Diesel,4.35
Hyundai Creta 1.6 CRDi SX,2016,Diesel,13.75
Maruti A-Star Vxi,2010,Petrol,2.0
Renault Duster 110PS Diesel RXZ Option,2016,Diesel,10.0
Fiat Grande Punto 1.3 Emotion Pack (Diesel),2010,Diesel,1.65
BMW X3 xDrive30d M Sport,2017,Diesel,45.77
Hyundai i10 Sportz,2010,Petrol,3.25
Toyota Innova 2.5 G4 Diesel 7-seater,2016,Diesel,12.8
Maruti Zen VXI BSII,2002,Petrol,0.55
Maruti Swift VDI,2018,Diesel,7.15
Mahindra Scorpio VLX 2.2 mHawk Airbag BSIV,2013,Diesel,7.0
Tata Zest Quadrajet 1.3 75PS XE,2017,Diesel,3.75
Ford EcoSport 1.0 Ecoboost Titanium Plus,2017,Petrol,8.5
Maruti Swift Dzire ZDI,2012,Diesel,4.35
Maruti Alto 800 LXI,2016,Petrol,3.26
Honda City 1.5 S MT,2011,Petrol,4.21
Audi Q7 3.0 TDI Quattro Technology,2018,Diesel,70.36
Skoda Laura 1.9 TDI AT Ambiente,2009,Diesel,2.95
Hyundai Verna 1.6 SX VTVT (O),2012,Petrol,4.28
Honda City 1.5 V AT,2009,Petrol,3.57
Hyundai i20 Magna Optional 1.4 CRDi,2013,Diesel,3.11
Hyundai i20 Sportz AT 1.4,2014,Petrol,5.96
Volkswagen Vento Diesel Highline,2011,Diesel,4.7
Honda City i VTEC VX,2014,Petrol,6.9
Tata Zest Quadrajet 1.3 75PS XE,2018,Diesel,5.25
BMW 5 Series 2003-2012 520d,2015,Diesel,28.0
Maruti Wagon R LXI Minor,2009,Petrol,1.35
Honda Jazz VX,2015,Petrol,4.85
Volkswagen Jetta 2007-2011 2.0 TDI Comfortline,2012,Diesel,6.7
Hyundai i10 Magna 1.2,2010,Petrol,3.1
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2015,Diesel,18.64
Hyundai i10 Magna 1.2 iTech SE,2012,Petrol,2.8
Toyota Innova Crysta 2.4 ZX MT,2016,Diesel,20.25
Audi A6 2011-2015 2.0 TDI Technology,2015,Diesel,26.78
Toyota Innova 2.5 VX (Diesel) 7 Seater,2010,Diesel,8.26
Volkswagen Polo Petrol Trendline 1.2L,2015,Petrol,3.89
Maruti Alto K10 LXI,2011,Petrol,2.1
Honda City i-VTEC CVT ZX,2017,Petrol,12.69
Tata Indigo LX,2013,Diesel,2.58
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,Diesel,20.77
Mercedes-Benz GLA Class 200 CDI SPORT,2015,Diesel,20.26
Maruti Celerio VXI AT,2014,Petrol,4.25
Mercedes-Benz GLE 250d,2017,Diesel,57.0
Land Rover Range Rover HSE Dynamic,2017,Diesel,44.0
Volkswagen Vento Diesel Trendline,2011,Diesel,3.65
Maruti Omni 8 Seater BSIV,2012,Petrol,2.05
Honda Brio 1.2 VX MT,2012,Petrol,3.13
Tata Sumo Delux,2000,Diesel,1.5
Tata Indica Vista Aura 1.3 Quadrajet,2012,Diesel,2.85
Maruti Wagon R LXI BS IV,2012,Petrol,2.65
Mahindra XUV500 W8 4WD,2015,Diesel,10.6
Tata Indigo LS Dicor,2008,Diesel,1.25
Maruti Ertiga Paseo VXI,2018,Petrol,8.25
Honda Accord 2.4 A/T,2011,Petrol,4.45
Maruti Swift Dzire VDi,2012,Diesel,3.7
Ford Fiesta EXi 1.4 TDCi Ltd,2009,Diesel,2.8
Honda City ZX GXi,2008,Petrol,1.8
Audi A6 2011-2015 2.0 TDI Premium Plus,2014,Diesel,21.95
BMW 6 Series 640d Gran Coupe,2011,Diesel,49.0
Audi Q7 45 TDI Quattro Technology,2017,Diesel,62.67
Hyundai i20 1.4 CRDi Asta,2012,Diesel,5.5
Hyundai i10 Sportz AT,2009,Petrol,2.95
Honda Jazz 1.2 V CVT i VTEC,2016,Petrol,6.86
Maruti Swift VDI BSIV,2015,Diesel,6.15
Hyundai i20 Asta 1.2,2011,Petrol,3.3
Volkswagen Polo Petrol Comfortline 1.2L,2011,Petrol,2.55
Maruti Alto LXi,2009,Petrol,1.5
Toyota Corolla H4,2004,Petrol,2.5
Maruti Alto LXi,2006,Petrol,1.4
Tata Manza ELAN Quadrajet BS IV,2012,Diesel,3.4
Maruti Alto LXi,2012,Petrol,2.25
Skoda Octavia Ambition Plus 2.0 TDI AT,2013,Diesel,7.5
Toyota Corolla H4,2008,Petrol,2.8
Hyundai i20 Asta Option 1.2,2016,Petrol,7.66
Maruti Vitara Brezza LDi,2016,Diesel,7.15
Honda City 1.5 V MT,2010,Petrol,3.5
Tata Indica Vista Aqua 1.3 Quadrajet,2014,Diesel,3.5
Honda Amaze S i-Dtech,2013,Diesel,3.45
Hyundai EON D Lite Plus,2016,Petrol,3.55
BMW 3 Series Luxury Line,2015,Diesel,25.99
Hyundai Verna 1.6 SX,2012,Diesel,5.25
Tata Manza Club Class Quadrajet90 LS,2013,Diesel,2.9
Skoda Octavia RS,2005,Petrol,2.05
Maruti Alto K10 VXI,2017,Petrol,3.75
Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,Diesel,6.75
Chevrolet Spark 1.0 LS,2011,Petrol,0.95
Jaguar XF 2.0 Diesel Portfolio,2017,Diesel,52.0
Honda CR-V RVi MT,2007,Petrol,3.91
Skoda Superb L&K 1.8 TSI AT,2019,Petrol,27.3
Hyundai i10 Magna 1.2,2009,Petrol,2.7
Maruti Swift LDI,2013,Diesel,3.5
Maruti Swift Dzire VXi AT,2016,Petrol,6.2
Nissan Micra Diesel XV,2011,Diesel,2.75
Maruti Swift Dzire Tour LDI,2015,Diesel,3.25
Ford Fiesta Classic 1.4 Duratorq CLXI,2012,Diesel,3.25
Maruti Zen LX,2003,Petrol,0.65
Mini Clubman Cooper S,2017,Petrol,35.0
Toyota Etios GD,2014,Diesel,3.25
Maruti Alto 800 2016-2019 LXI,2018,Petrol,2.9
Maruti Alto VXi,2011,Petrol,2.9
BMW X5 3.0d,2009,Diesel,17.75
Nissan Teana XV,2015,Petrol,8.25
Hyundai Grand i10 AT Asta,2015,Petrol,5.77
Maruti Vitara Brezza ZDi Plus,2017,Diesel,9.49
Audi Q7 3.0 TDI Quattro Premium Plus,2008,Diesel,12.95
Mercedes-Benz GLA Class 200 CDI,2015,Diesel,20.0
Maruti 800 AC,2007,Petrol,1.0
Renault Duster 85PS Diesel RxL,2015,Diesel,7.1
Toyota Corolla Altis D-4D GL,2017,Diesel,16.5
Mercedes-Benz New C-Class 220,2014,Diesel,26.0
Maruti Ritz VDi,2010,Diesel,3.2
Honda BRV i-VTEC V CVT,2017,Petrol,9.48
Hyundai Xcent 1.1 CRDi Base,2015,Diesel,4.0
Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,2014,Diesel,26.5
Mercedes-Benz B Class B180,2014,Petrol,11.77
Mercedes-Benz E-Class 2015-2017 E250 Edition E,2017,Diesel,37.0
Honda City i VTEC VX Option,2016,Petrol,8.75
Honda City 1.5 S MT,2011,Petrol,3.75
Hyundai Verna Transform VTVT,2010,Petrol,2.5
Jaguar XE Portfolio,2017,Petrol,34.5
Honda Amaze S i-Vtech,2015,Petrol,4.65
Mini Cooper Convertible 1.6,2015,Petrol,32.0
Mercedes-Benz S Class 2005 2013 S 350 CDI,2017,Diesel,62.81
Hyundai EON Magna Plus,2014,Petrol,3.25
Maruti Wagon R VXI BS IV,2014,Petrol,3.1
Maruti Ritz LDi,2011,Diesel,3.91
BMW 3 Series 320d Sedan,2011,Diesel,11.0
Tata Xenon XT EX 4X2,2014,Diesel,3.5
Audi A3 35 TDI Attraction,2014,Diesel,16.5
Land Rover Range Rover 2.2L Dynamic,2012,Diesel,30.0
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,2010,Diesel,28.0
Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,2018,Diesel,28.0
Maruti Alto LX,2010,Petrol,0.92
Maruti Wagon R LXI BSIII,2013,Petrol,2.75
Land Rover Range Rover 2.2L Prestige,2017,Diesel,53.83
Hyundai Verna 1.6 SX VTVT,2011,Petrol,4.95
BMW 5 Series 525d Sedan,2013,Diesel,33.5
Jaguar XF Diesel,2013,Diesel,27.95
Skoda Superb Elegance 1.8 TSI AT,2010,Petrol,7.25
Audi Q3 35 TDI Quattro Premium,2017,Diesel,25.71
Land Rover Range Rover 2.2L Pure,2014,Diesel,29.67
Mercedes-Benz New C-Class 220 CDI AT,2013,Diesel,19.0
Mahindra Scorpio S10 4WD,2017,Diesel,13.05
BMW 3 Series Luxury Line,2015,Diesel,25.5
Honda BR-V i-VTEC S MT,2017,Petrol,8.5
Volvo S80 2006-2013 D5,2010,Diesel,7.25
Hyundai Accent GLE,2005,Petrol,0.8
Hyundai i20 Active SX Petrol,2017,Petrol,6.9
Mercedes-Benz GLC 43 AMG Coupe,2018,Petrol,70.99
Hyundai EON Magna Plus,2015,Petrol,2.25
Hyundai Grand i10 SportZ Edition,2018,Petrol,5.5
Honda City 1.5 EXI S,2013,Petrol,4.35
Volkswagen Polo Petrol Trendline 1.2L,2010,Petrol,2.25
Audi A6 35 TFSI Matrix,2016,Petrol,24.5
Hyundai Creta 1.6 SX Plus Dual Tone Petrol,2017,Petrol,12.03
Mercedes-Benz New C-Class C 200 CGI Avantgarde,2011,Petrol,8.5
Mini Cooper Convertible S,2014,Petrol,28.5
Toyota Etios VD,2013,Diesel,5.75
Honda Brio S MT,2014,Petrol,3.2
Maruti Baleno Alpha Automatic,2018,Petrol,9.89
Skoda Laura Ambiente 2.0 TDI CR AT,2012,Diesel,6.58
Hyundai EON Era Plus,2018,Petrol,4.06
Renault Captur 1.5 Diesel RXL,2019,Diesel,13.37
BMW 5 Series 2003-2012 GT 530d LE,2011,Diesel,25.82
Maruti Alto 800 LXI,2016,Petrol,3.74
Volvo V40 D3,2015,Diesel,22.0
Maruti Wagon R LXI BSII,2007,Petrol,1.45
Honda City ZX GXi,2008,Petrol,2.0
Chevrolet Enjoy 1.4 LS 8,2014,Petrol,3.75
Mahindra Bolero ZLX,2016,Diesel,7.7
Hyundai EON D Lite,2014,Petrol,2.6
Hyundai Creta 1.6 SX Plus Petrol Automatic,2017,Petrol,13.77
Volkswagen Vento 1.6 Comfortline,2017,Petrol,7.1
Honda Civic 2006-2010 1.8 S AT,2008,Petrol,2.65
Tata Indica Vista Quadrajet LS,2014,Diesel,2.5
Mahindra XUV500 W8 2WD,2013,Diesel,7.53
Hyundai i20 1.2 Asta Option,2017,Petrol,7.98
Audi Q5 30 TDI quattro Premium Plus,2014,Diesel,39.0
Maruti Ritz VXi,2011,Petrol,2.25
Mitsubishi Cedia Sports,2010,Petrol,3.85
Toyota Innova 2.5 V Diesel 7-seater,2015,Diesel,13.5
Maruti Celerio LDi,2016,Diesel,3.5
Maruti S-Cross Delta DDiS 200 SH,2018,Diesel,8.92
Audi Q3 35 TDI Quattro Premium Plus,2016,Diesel,20.37
BMW 3 Series Luxury Line,2016,Diesel,36.5
Audi Q7 4.2 TDI Quattro Technology,2016,Diesel,48.91
Hyundai i20 2015-2017 Asta 1.2,2016,Petrol,7.2
Renault Duster 110PS Diesel RxL,2012,Diesel,5.99
Hyundai Xcent 1.1 CRDi S Celebration Edition,2016,Diesel,5.25
Ford Ecosport 1.5 DV5 MT Titanium,2014,Diesel,6.5
Volkswagen Polo Petrol Trendline 1.2L,2013,Petrol,4.4
Hyundai Grand i10 CRDi Magna,2017,Diesel,4.6
Tata Manza Aqua Quadrajet BS IV,2013,Diesel,2.95
Honda City 1.5 V MT,2011,Petrol,3.26
Hyundai Santro Xing GLS,2008,Petrol,2.22
Toyota Innova 2.5 VX (Diesel) 7 Seater,2012,Diesel,10.5
Maruti Ciaz 1.3 S,2017,Diesel,8.26
Toyota Fortuner 4x4 MT TRD Sportivo,2013,Diesel,14.45
Mercedes-Benz E-Class E 220 d,2018,Petrol,51.43
Mercedes-Benz New C-Class 220 CDI MT,2014,Diesel,23.0
Skoda Yeti Ambition 4X2,2012,Diesel,5.5
Hyundai Grand i10 Sportz,2015,Petrol,4.5
Ford Figo 2015-2019 1.2P Titanium MT,2018,Petrol,6.8
Skoda Octavia Ambition 1.4 TSI MT,2013,Petrol,8.75
Renault Duster 85PS Diesel RxL Option,2015,Diesel,7.0
Land Rover Range Rover Evoque 2.0 TD4 Pure,2015,Diesel,33.5
Ford Figo Diesel EXI,2011,Diesel,2.25
