Name,Car_Price
BMW X3 xDrive 20d Luxury Line,61.25
Porsche Panamera Diesel,60.95
Mercedes-Benz GLE 350d,60.75
BMW X6 xDrive 40d M Sport,60.0
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,59.72
Mercedes-Benz GLE 350d,59.65
Mercedes-Benz GLE 350d,59.29
Bentley Continental Flying Spur,59.0
Land Rover Discovery Sport SD4 HSE Luxury 7S,58.91
Jaguar XJ 3.0L Portfolio LWB,58.73
BMW Z4 2009-2013 Roadster 2.5i,58.54
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,58.0
Mercedes-Benz GLE 250d,57.0
BMW X5 xDrive 30d M Sport,57.0
Ford Mustang V8,56.8
Mercedes-Benz GLE 250d,56.73
Mercedes-Benz E-Class E 220 d,56.5
Land Rover Discovery Sport TD4 HSE 7S,56.14
Mercedes-Benz GLS 350d 4MATIC,56.0
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,56.0
Mercedes-Benz GLE 250d,56.0
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,56.0
Land Rover Range Rover 2.2L Dynamic,55.76
Land Rover Discovery Sport TD4 HSE,55.7
Mercedes-Benz SLK-Class SLK 350,55.54
Mercedes-Benz SLK-Class SLK 350,55.0
BMW X5 xDrive 30d M Sport,55.0
BMW X5 xDrive 30d,54.45
BMW X5 xDrive 30d Design Pure Experience 5 Seater,54.0
Mercedes-Benz SLC 43 AMG,54.0
Land Rover Range Rover 2.2L Prestige,53.83
Audi Q7 35 TDI Quattro Technology,53.11
Land Rover Range Rover 3.6 TDV8 Vogue SE,52.54
Jaguar XF 2.2 Litre Luxury,52.5
Audi Q7 35 TDI Quattro Technology,52.5
BMW 7 Series 730Ld,52.0
Jaguar XF 2.0 Diesel Portfolio,52.0
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,52.0
Audi Q7 4.2 TDI Quattro Technology,51.69
Porsche Panamera Diesel 250hp,51.52
Mercedes-Benz E-Class E 220 d,51.43
Mercedes-Benz E-Class E 220 d,51.35
Audi Q7 4.2 TDI Quattro Technology,51.0
Mercedes-Benz GLC 220d 4MATIC Style,50.97
Jaguar XJ 5.0 L V8 Supercharged,50.66
Porsche Panamera Diesel,50.5
Mercedes-Benz E-Class Facelift,50.29
Audi Q7 35 TDI Quattro Technology,50.22
BMW X5 X5 M,50.0
Audi Q7 3.0 TDI Quattro Premium Plus,49.79
Mercedes-Benz M-Class ML 350 4Matic,49.24
Mercedes-Benz M-Class ML 350 4Matic,49.22
Mercedes-Benz GLE 250d,49.0
BMW 6 Series 640d Gran Coupe,49.0
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,49.0
Audi Q7 4.2 TDI Quattro Technology,48.91
Audi Q7 35 TDI Quattro Technology,48.76
BMW 5 Series 2013-2017 530d M Sport,48.63
Mercedes-Benz GLC 220d 4MATIC Style,48.5
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,48.5
Porsche Cayenne 2009-2014 Diesel,48.22
Audi Q7 35 TDI Quattro Technology,48.0
BMW 5 Series 2013-2017 530d M Sport,48.0
Mercedes-Benz E-Class E400 Cabriolet,48.0
BMW 5 Series 530d M Sport,48.0
Audi Q7 4.2 TDI Quattro Technology,48.0
BMW X6 xDrive 40d,48.0
BMW 5 Series 2013-2017 530d M Sport,47.7
Audi Q7 3.0 TDI Quattro Premium Plus,47.5
BMW 6 Series 630i Coupe,47.5
Mercedes-Benz M-Class ML 350 4Matic,47.35
Mercedes-Benz GLC 220d 4MATIC Style,46.95
BMW 5 Series 2013-2017 520d M Sport,46.0
BMW 5 Series 520d Sport Line,45.86
Porsche Cayenne Diesel,45.82
BMW X3 xDrive30d M Sport,45.77
BMW 5 Series 2003-2012 530d,45.73
Land Rover Range Rover HSE Dynamic,45.64
Audi Q5 3.0 TDI Quattro,45.62
Mercedes-Benz M-Class ML 250 CDI,45.61
Audi Q5 3.0 TDI Quattro Technology,45.52
Porsche Panamera Diesel,45.0
BMW X5 xDrive 30d,45.0
Audi Q7 3.0 TDI Quattro Technology,45.0
BMW 7 Series 730Ld,45.0
BMW 6 Series 640d Coupe,45.0
Mercedes-Benz M-Class ML 250 CDI,45.0
BMW 6 Series Gran Coupe,45.0
Audi A8 L 3.0 TDI quattro,45.0
Jaguar XJ 3.0L Premium Luxury,45.0
Mercedes-Benz GLC 220d 4MATIC Sport,45.0
BMW X3 xDrive30d M Sport,45.0
Land Rover Range Rover HSE Dynamic,44.83
Land Rover Range Rover HSE Dynamic,44.76
BMW 5 Series 2013-2017 530d M Sport,44.56
Land Rover Discovery Sport SD4 HSE Luxury 7S,44.5
BMW 5 Series 2013-2017 530d M Sport,44.0
BMW 6 Series Gran Coupe,44.0
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,44.0
Jaguar XF 2.2 Litre Executive,44.0
Land Rover Range Rover HSE Dynamic,44.0
Audi Q5 2008-2012 3.0 TDI,44.0
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,43.78
Audi Q5 30 TDI quattro Premium,43.74
BMW 7 Series 730Ld Eminence,43.6
Audi Q7 3.0 TDI Quattro Premium Plus,43.35
Mercedes-Benz GLC 220,43.3
Audi A4 35 TDI Technology,43.0
Mercedes-Benz M-Class ML 350 4Matic,43.0
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,43.0
Porsche Panamera 2010 2013 4S,42.91
Audi Q7 3.0 TDI Quattro Premium Plus,42.83
BMW 5 Series 520d Sport Line,42.75
Mercedes-Benz GLC 220,42.5
BMW X6 xDrive30d,42.5
Land Rover Range Rover Evoque 2.0 TD4 HSE Dynamic,42.0
Mercedes-Benz E-Class 2015-2017 E350 Edition E,42.0
BMW X3 xDrive20d,41.75
Land Rover Discovery HSE Luxury 3.0 TD6,41.6
Land Rover Discovery Sport TD4 HSE 7S,41.5
Audi A6 35 TFSI Matrix,41.5
BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,41.5
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,41.0
Land Rover Range Rover Sport 2005 2012 Sport,40.88
BMW X6 xDrive30d,40.66
BMW 5 Series 2013-2017 520d Luxury Line,40.5
Audi RS5 Coupe,40.5
Mercedes-Benz GLC 220d Celebration Edition,40.47
Jaguar XE 2.0L Diesel Prestige,40.0
Porsche Cayenne Diesel,40.0
Land Rover Range Rover Sport 2005 2012 HSE,40.0
Audi A6 35 TDI Matrix,39.84
Mini Cooper S Carbon Edition,39.75
Land Rover Range Rover 2.2L Dynamic,39.75
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,39.62
Audi A6 2011-2015 35 TDI Premium,39.58
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,39.51
Audi Q5 2.0 TDI Premium Plus,39.5
Mercedes-Benz C-Class Progressive C 220d,39.5
Audi Q5 30 TDI quattro Premium Plus,39.47
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,39.47
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,39.45
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,39.41
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,39.22
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,39.05
Audi Q7 3.0 TDI Quattro Premium Plus,39.0
Audi Q5 30 TDI quattro Premium Plus,39.0
Audi Q7 35 TDI Quattro Premium Plus,39.0
Mercedes-Benz New C-Class Progressive C 200,38.99
Audi Q5 30 TDI quattro Premium Plus,38.95
Audi Q7 3.0 TDI Quattro Premium Plus,38.94
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,38.76
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,38.75
Audi Q5 30 TDI quattro Premium Plus,38.72
Mercedes-Benz New C-Class C 250 CDI Avantgarde,38.5
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,38.5
Mercedes-Benz E-Class 2015-2017 E250 Edition E,38.15
Jaguar XE 2.0L Diesel Prestige,38.0
Audi Q7 35 TDI Quattro Premium Plus,38.0
Mercedes-Benz M-Class ML 350 4Matic,38.0
Jaguar XF 2.2 Litre Luxury,38.0
Mercedes-Benz GL-Class 350 CDI Blue Efficiency,38.0
Jaguar XF 2.2 Litre Executive,38.0
Mercedes-Benz New C-Class C220 CDI Executive Edition,37.99
Mercedes-Benz E-Class 2015-2017 E250 Edition E,37.98
Mercedes-Benz New C-Class C 250 CDI Avantgarde,37.93
BMW 3 Series Luxury Line,37.92
Audi Q7 3.0 TDI Quattro Premium Plus,37.9
Audi A6 2011-2015 35 TDI Technology,37.56
Mercedes-Benz New C-Class C 220 CDI Style,37.5
BMW 5 Series 520d Luxury Line,37.3
Audi RS5 Coupe,37.0
Mercedes-Benz E-Class 2015-2017 E250 Edition E,37.0
Audi Q5 3.0 TDI Quattro Technology,36.83
Mercedes-Benz CLA 200 D Sport Edition,36.76
Land Rover Discovery SE 3.0 TD6,36.75
BMW X1 sDrive 20d xLine,36.64
Audi Q7 3.0 TDI Quattro Technology,36.5
BMW 3 Series Luxury Line,36.5
Jaguar XF Diesel,36.15
Mercedes-Benz New C-Class C 220 CDI Style,36.0
Mercedes-Benz M-Class ML 350 CDI,36.0
Land Rover Range Rover 2.2L Prestige,36.0
Audi Q5 30 TDI quattro Premium Plus,36.0
Audi A6 2011-2015 35 TDI Technology,36.0
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,36.0
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,36.0
BMW 7 Series 2007-2012 730Ld,36.0
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,36.0
Mini Cooper Convertible S,35.98
Audi A6 2011-2015 35 TDI Technology,35.92
BMW 3 Series Luxury Line,35.84
BMW 5 Series 2013-2017 520d Luxury Line,35.84
Toyota Fortuner 2.8 2WD MT,35.82
Jaguar XF 2.2 Litre Luxury,35.68
Mercedes-Benz C-Class Progressive C 220d,35.67
Mini Cooper Convertible S,35.67
BMW 3 Series 320d Luxury Line,35.55
Ford Endeavour 3.2 Titanium AT 4X4,35.5
Audi A6 35 TDI Matrix,35.5
Mercedes-Benz E-Class E250 CDI Avantgrade,35.28
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,35.0
Mercedes-Benz C-Class Progressive C 220d,35.0
Audi Q5 2.0 TDI Technology,35.0
BMW 3 Series Luxury Line,35.0
Land Rover Discovery Sport TD4 HSE,35.0
Land Rover Discovery Sport TD4 S,35.0
Mini Clubman Cooper S,35.0
BMW 3 Series Luxury Line,35.0
Mercedes-Benz M-Class ML 250 CDI,35.0
Mini Cooper Convertible S,35.0
Audi TT 40 TFSI,35.0
Audi Q5 2.0 TDI,35.0
Land Rover Discovery Sport SD4 HSE Luxury,35.0
BMW 5 Series 2013-2017 520d Luxury Line,35.0
Audi Q7 3.0 TDI Quattro Premium Plus,34.88
Mercedes-Benz New C-Class C 220 CDI Elegance AT,34.78
BMW 7 Series 730Ld Sedan,34.54
BMW 5 Series 2013-2017 520d Luxury Line,34.51
Land Rover Range Rover 2.2L Pure,34.5
Audi Q5 3.0 TDI Quattro,34.5
Jaguar XE Portfolio,34.5
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,34.18
Land Rover Range Rover Evoque 2.0 TD4 Pure,34.08
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,34.0
Land Rover Discovery 4 TDV6 SE,34.0
Mini Cooper 5 DOOR D,34.0
Mercedes-Benz GLA Class 200 CDI SPORT,34.0
Mercedes-Benz New C-Class C 220 CDI Style,34.0
BMW 3 Series 320d GT Luxury Line,33.75
Mercedes-Benz New C-Class C 220 CDI Style,33.66
BMW 3 Series 320d M Sport,33.66
Mercedes-Benz New C-Class C 220 CDI Avantgarde,33.64
Jaguar XF 2.2 Litre Luxury,33.63
BMW 5 Series 525d Sedan,33.5
Ford Endeavour 3.2 Titanium AT 4X4,33.5
BMW 5 Series 520d Luxury Line,33.5
Land Rover Range Rover Evoque 2.0 TD4 Pure,33.5
Toyota Fortuner 2.8 2WD AT,33.13
BMW 3 Series GT 320d Luxury Line,33.0
Mercedes-Benz New C-Class C 220 CDI Avantgarde,33.0
BMW X1 sDrive 20d Sportline,33.0
Ford Endeavour 3.2 Titanium AT 4X4,33.0
Audi Q5 3.0 TDI Quattro Technology,32.95
Audi A4 35 TDI Technology Edition,32.91
Ford Endeavour 2.2 Titanium AT 4X2,32.9
Jaguar XF 2.2 Litre Luxury,32.8
BMW X3 xDrive20d xLine,32.78
Audi Q3 30 TDI Premium FWD,32.73
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,32.73
BMW X3 xDrive20d xLine,32.64
BMW X3 xDrive 20d xLine,32.57
Audi Q7 3.0 TDI Quattro Premium Plus,32.52
Audi Q5 2.0 TDI Premium Plus,32.5
Land Rover Range Rover 2.2L Pure,32.5
Volvo XC60 D5,32.5
Mercedes-Benz New C-Class C 220 CDI Avantgarde,32.5
Ford Endeavour 3.2 Trend AT 4X4,32.44
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,32.25
Toyota Fortuner 4x4 MT,32.1
Porsche Cayenne Turbo S,32.0
Mercedes-Benz CLS-Class 2006-2010 350 CDI,32.0
Mini Cooper Convertible 1.6,32.0
Toyota Fortuner 4x4 AT,32.0
Audi Q7 3.0 TDI Quattro Premium Plus,32.0
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,32.0
Toyota Camry 2.5 Hybrid,32.0
Audi A6 2011-2015 35 TDI Technology,32.0
Mercedes-Benz E-Class E250 CDI Avantgrade,32.0
Jaguar XF Aero Sport Edition,32.0
Toyota Camry Hybrid,32.0
Ford Endeavour 2.2 Titanium AT 4X2,31.99
Mercedes-Benz E-Class 2015-2017 E250 Edition E,31.94
Audi Q3 35 TDI Quattro Premium Plus,31.93
Jaguar XF 3.0 Litre S Premium Luxury,31.8
BMW 5 Series 2013-2017 530d M Sport,31.75
Mercedes-Benz E-Class Facelift,31.75
Toyota Fortuner 4x4 AT,31.62
Mini Cooper 5 DOOR D,31.55
BMW 5 Series 2013-2017 520d Luxury Line,31.5
Audi Q7 3.0 TDI quattro,31.41
Ford Endeavour 2.2 Trend AT 4X2,31.15
Ford Endeavour 3.2 Trend AT 4X4,31.12
BMW 7 Series 730Ld Sedan,31.0
BMW 3 Series 330 Ci Convertible,31.0
Ford Endeavour 3.2 Titanium AT 4X4,31.0
Jaguar XF 2.2 Litre Luxury,31.0
Toyota Fortuner 2.8 2WD AT,31.0
Toyota Fortuner 2.8 2WD AT,30.85
BMW 5 Series 2013-2017 520d Luxury Line,30.8
Mercedes-Benz CLA 200 CDI Sport,30.77
Mercedes-Benz E-Class E250 CDI Launch Edition,30.72
Jaguar XF 2.2 Litre Luxury,30.54
Audi Q7 3.0 TDI Quattro Technology,30.5
BMW 5 Series 2013-2017 520d Luxury Line,30.5
Mercedes-Benz New C-Class 220 CDI AT,30.5
Ford Endeavour 3.2 Titanium AT 4X4,30.48
BMW 5 Series 2013-2017 520d Luxury Line,30.45
Mercedes-Benz E-Class 2009-2013 E 200 CGI Avantgarde,30.42
BMW 5 Series 520d Luxury Line,30.37
Ford Endeavour 3.2 Titanium AT 4X4,30.35
Mercedes-Benz New C-Class C 220 CDI Avantgarde,30.3
Mercedes-Benz CLA 200 CDI Sport,30.3
BMW X1 M Sport sDrive 20d,30.29
Ford Endeavour 3.2 Trend AT 4X4,30.27
Mercedes-Benz S-Class S 350 d,30.0
Land Rover Range Rover 2.2L Dynamic,30.0
Mercedes-Benz M-Class ML 350 4Matic,30.0
BMW Z4 2009-2013 35i,30.0
BMW 3 Series 320d Sport Line,30.0
Toyota Fortuner 2.8 2WD AT,30.0
Mercedes-Benz New C-Class C 220d Avantgarde Edition C,30.0
Mercedes-Benz M-Class ML 250 CDI,30.0
Toyota Fortuner 2.8 2WD AT,30.0
Mercedes-Benz S Class 2005 2013 S 500,30.0
BMW 3 Series Sport,29.99
Jaguar XF 2.2 Litre Luxury,29.98
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,29.98
Mercedes-Benz M-Class ML 250 CDI,29.95
BMW 3 Series Luxury Line,29.95
Land Rover Range Rover 2.2L Prestige,29.93
Ford Endeavour 3.2 Titanium AT 4X4,29.8
Audi Q7 4.2 TDI Quattro Technology,29.77
Land Rover Range Rover 2.2L Pure,29.67
Audi Q5 2.0 TDI Premium Plus,29.64
Mercedes-Benz E-Class E250 CDI Launch Edition,29.6
BMW 3 Series 330d Convertible,29.52
Audi A6 2.0 TDI Design Edition,29.5
Mercedes-Benz SL-Class SL 500,29.5
BMW X1 M Sport sDrive 20d,29.5
Ford Endeavour 3.2 Titanium AT 4X4,29.5
Audi TT 2.0 TFSI,29.5
Mini Cooper 5 DOOR D,29.5
Mercedes-Benz E-Class 2015-2017 E250 Edition E,29.5
BMW 3 Series 320d Luxury Line,29.5
Jaguar XF 3.0 Litre S Premium Luxury,29.5
BMW X1 sDrive 20d xLine,29.4
BMW X1 xDrive 20d xLine,29.3
Ford Endeavour 3.2 Titanium AT 4X4,29.2
Mercedes-Benz New C-Class C 200 Kompressor Elegance AT,29.0
Audi Q5 2.0 TDI Premium Plus,29.0
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,29.0
Audi A6 2011-2015 3.0 TDI Quattro Premium Plus,29.0
BMW 3 Series 330d Convertible,29.0
Jaguar XF 3.0 Litre S Premium Luxury,29.0
Audi Q5 2.0 TDI,29.0
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,29.0
BMW X3 xDrive20d Expedition,29.0
Audi Q3 35 TDI Quattro Premium Plus,29.0
Audi A6 2.0 TDI Design Edition,29.0
BMW X1 xDrive 20d M Sport,29.0
Mini Cooper 3 DOOR S,28.95
Mercedes-Benz GLA Class 200 d Sport,28.9
Ford Endeavour 3.2 Titanium AT 4X4,28.88
Toyota Fortuner 2.8 2WD MT,28.85
BMW X3 xDrive20d,28.79
Audi A7 2011-2015 3.0 TDI Quattro,28.75
BMW X1 xDrive 20d xLine,28.75
Jaguar XF Diesel,28.63
Audi Q7 3.0 TDI quattro,28.55
BMW X1 sDrive20d,28.5
Mini Cooper Convertible S,28.5
Mercedes-Benz New C-Class C 220 CDI Avantgarde,28.5
BMW X1 sDrive 20d xLine,28.5
BMW 3 Series 320d Luxury Line,28.45
Toyota Fortuner 4x4 MT,28.42
Mercedes-Benz CLA 200 CDI Sport,28.25
Audi Q3 35 TDI Quattro Premium Plus,28.03
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,28.0
BMW 3 Series 320d Sport Line,28.0
Mercedes-Benz M-Class ML 350 CDI,28.0
BMW 5 Series 2003-2012 520d,28.0
Mercedes-Benz R-Class R350 CDI 4MATIC,28.0
Mitsubishi Pajero Sport 4X2 AT DualTone BlackTop,28.0
Audi A4 35 TDI Premium Sport,28.0
Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury,28.0
Audi A7 2011-2015 Sportback,28.0
BMW X5 xDrive 30d,28.0
Jaguar XF Diesel,27.95
Mercedes-Benz CLA 200 CDI Sport,27.87
BMW X1 xDrive 20d xLine,27.75
Mercedes-Benz M-Class ML 250 CDI,27.75
BMW X5 xDrive 30d,27.5
Audi Q3 35 TDI Quattro Premium Plus,27.5
BMW 5 Series 2013-2017 525d Luxury Line,27.5
Mercedes-Benz E-Class E350 CDI,27.5
Mercedes-Benz CLA 200 CDI Style,27.43
Ford Endeavour Titanium 4X2,27.36
Audi TT 2.0 TFSI,27.35
Skoda Superb L&K 1.8 TSI AT,27.3
Mercedes-Benz CLA 200 Sport Edition,27.15
Mitsubishi Pajero Sport 4X4 AT,27.11
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,27.0
Mercedes-Benz New C-Class C 220 CDI Style,27.0
Audi Q3 2.0 TDI Quattro,27.0
BMW X5 xDrive 30d,27.0
Audi Q3 30 TDI Premium FWD,27.0
Mercedes-Benz New C-Class C 220CDIBE Avantgarde Command,27.0
BMW 3 Series Luxury Line,27.0
Audi A4 35 TDI Technology Edition,27.0
BMW 5 Series 2013-2017 530d M Sport,27.0
Mercedes-Benz CLA 200 CDI Sport,27.0
Toyota Camry Hybrid,27.0
Land Rover Range Rover 2.2L Pure,27.0
Audi A6 2011-2015 2.0 TDI Technology,26.78
Mercedes-Benz GLA Class 200 Sport,26.76
Jaguar XF 2.2 Litre Luxury,26.75
BMW 3 Series 320d GT Luxury Line,26.75
Mercedes-Benz New C-Class C 200 CGI Avantgarde,26.7
Jaguar XF 2.2 Litre Luxury,26.52
BMW 7 Series 730Ld Design Pure Excellence CBU,26.5
Jaguar XF 2.2 Litre Luxury,26.5
BMW 3 Series Luxury Line,26.5
Ford Endeavour 3.2 Trend AT 4X4,26.5
Land Rover Range Rover 3.0 D,26.5
Mercedes-Benz E-Class 2009-2013 E250 CDI Avantgarde,26.5
Jaguar XF 2.2 Litre Luxury,26.5
BMW 5 Series 525d Sedan,26.5
Mitsubishi Pajero Sport 4X4 AT,26.5
Toyota Camry Hybrid 2.5,26.11
Skoda Superb Style 1.8 TSI AT,26.0
Land Rover Freelander 2 TD4 SE,26.0
Audi A4 2.0 TDI 177 Bhp Technology Edition,26.0
Mercedes-Benz New C-Class 220,26.0
Mercedes-Benz M-Class ML 350 4Matic,26.0
Mercedes-Benz GLA Class 200 CDI,26.0
Ford Endeavour 3.2 Trend AT 4X4,26.0
Mercedes-Benz GLA Class 200 Sport Edition,26.0
Mercedes-Benz CLA 200 Sport Edition,26.0
Mercedes-Benz New C-Class 220 CDI MT,26.0
Mercedes-Benz E-Class 2009-2013 E250 CDI Blue Efficiency,26.0
BMW 3 Series Luxury Line,25.99
BMW 7 Series 2007-2012 750Li,25.93
BMW 5 Series 2003-2012 GT 530d LE,25.82
Audi A4 2.0 TDI Premium Sport Limited Edition,25.81
Mercedes-Benz CLA 200 CDI Sport,25.75
Audi A4 2.0 TDI 177 Bhp Premium Plus,25.75
Skoda Superb L&K 2.0 TDI AT,25.75
Audi A4 35 TDI Premium,25.75
BMW 5 Series 2010-2013 530d,25.72
Audi Q3 35 TDI Quattro Premium,25.71
Audi Q5 2.0 TDI Premium Plus,25.71
Jaguar XF 2.2 Litre Luxury,25.7
Audi Q5 2008-2012 2.0 TDI,25.64
Audi A4 35 TDI Premium,25.64
Mercedes-Benz CLA 200 D Sport Edition,25.51
Mercedes-Benz New C-Class C 220 CDI Celebration Edition,25.5
BMW 3 Series 320d Luxury Line,25.5
BMW 3 Series Luxury Line,25.5
Audi Q5 30 TDI quattro Premium,25.49
Audi Q5 2008-2012 2.0 TDI,25.46
Audi A4 2.0 TDI 177 Bhp Premium Plus,25.31
Toyota Fortuner 4x4 AT,25.12
Audi A4 3.0 TDI Quattro,25.02
Audi A6 2011-2015 2.0 TDI Premium Plus,25.02
Mini Cooper S Carbon Edition,25.0
Audi A4 35 TDI Technology,25.0
Volvo S60 D4 Momentum,25.0
Toyota Camry Hybrid,25.0
Mercedes-Benz S Class 2005 2013 S 300 L,25.0
Audi A4 35 TDI Premium,25.0
Audi A4 35 TDI Premium,25.0
Mercedes-Benz GLA Class 200 Sport Edition,25.0
Audi A6 35 TDI Matrix,25.0
Audi Q5 2008-2012 2.0 TDI,25.0
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,25.0
Audi A4 2.0 TDI 177 Bhp Technology Edition,25.0
Mercedes-Benz GLA Class 200 CDI SPORT,25.0
Audi Q3 35 TDI Quattro Premium,25.0
Mercedes-Benz S Class 2005 2013 S 350 CDI,25.0
Toyota Fortuner 4x2 AT,24.99
Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,24.95
Audi A7 2011-2015 3.0 TDI Quattro,24.94
Volkswagen Tiguan 2.0 TDI Highline,24.9
Mercedes-Benz GLA Class 200 CDI,24.85
Toyota Innova Crysta 2.8 ZX AT,24.82
Mini Cooper 3 DOOR D,24.77
BMW 3 Series 320d Luxury Plus,24.75
BMW 5 Series 2013-2017 520d Luxury Line,24.75
Audi A4 35 TDI Premium,24.74
BMW 5 Series 520d Luxury Line,24.68
Mercedes-Benz E-Class E250 CDI Avantgrade,24.63
Mercedes-Benz CLA 200 CDI Sport,24.51
Audi A4 3.0 TDI Quattro,24.5
Toyota Fortuner 4x2 MT TRD Sportivo,24.5
Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,24.5
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,24.5
Audi A6 35 TFSI Matrix,24.5
Mercedes-Benz CLA 200 CGI Sport,24.5
Audi A4 2.0 TDI 177 Bhp Premium Plus,24.5
Mercedes-Benz GLA Class 200 d Style,24.46
Audi A4 35 TDI Premium Plus,24.37
Volvo S60 D4 SUMMUM,24.36
Audi A6 2011-2015 35 TDI Technology,24.25
Audi A6 2011-2015 35 TFSI Technology,24.22
Volvo V40 D3 R Design,24.0
Mercedes-Benz E-Class 200 Kompressor Elegance,24.0
Audi A4 2.0 TDI,24.0
Jaguar XF 3.0 Litre S Premium Luxury,24.0
Jaguar XF 2.2 Litre Luxury,24.0
BMW X3 xDrive20d,24.0
Mercedes-Benz E-Class E250 CDI Avantgrade,24.0
Ford Endeavour 2.2 Trend AT 4X2,24.0
Audi A6 35 TDI Matrix,24.0
Audi A6 2011-2015 2.0 TDI,23.99
BMW 3 Series 320d M Sport,23.99
Jeep Compass 2.0 Limited 4X4,23.91
Audi A6 2011-2015 2.0 TDI Premium Plus,23.89
Ford Endeavour 2.2 Trend MT 4X4,23.86
Mini Cooper 3 DOOR D,23.8
Audi A4 35 TDI Premium,23.75
Audi Q3 35 TDI Quattro Premium,23.75
Audi Q5 2008-2012 2.0 TDI,23.68
Mercedes-Benz R-Class R350 4Matic Long,23.68
Volvo XC90 2007-2015 D5 AWD,23.65
